time,open,high,low,close,volume,turnover
2020-12-13 20:00:00+00:00,19206,19232.5,18976.5,19177,1901.696,36468824.192
2020-12-14 00:00:00+00:00,19177,19339.5,19017.5,19256,1641.595,31610553.32
2020-12-14 04:00:00+00:00,19256,19274,19044.5,19157.5,1391.883,26664998.5725
2020-12-14 08:00:00+00:00,19157.5,19258.5,19055,19108,1135.13,21690064.04
2020-12-14 12:00:00+00:00,19108,19306.5,19032.5,19192.5,1861.827,35733114.6975
2020-12-14 16:00:00+00:00,19192.5,19231.5,19123,19175,1144.014,21936468.45
2020-12-14 20:00:00+00:00,19175,19348,19127.5,19276,1921.6,37040761.6
2020-12-15 00:00:00+00:00,19276,19585.5,19262,19494.5,3970.39,77400767.855
2020-12-15 04:00:00+00:00,19494.5,19503,19057.5,19198.5,3878.782,74466796.227
2020-12-15 08:00:00+00:00,19198.5,19348,19078.5,19287,3010.951,58072211.937
2020-12-15 12:00:00+00:00,19287,19420,19254,19407.5,2813.468,54602380.21
2020-12-15 16:00:00+00:00,19407.5,19528,19338.5,19525.5,2006.905,39185823.5775
2020-12-15 20:00:00+00:00,19525.5,19533,19345,19414,2667.564,51788087.496
2020-12-16 00:00:00+00:00,19414,19472,19277.5,19348,1370.939,26524927.772
2020-12-16 04:00:00+00:00,19348,19435,19303.5,19415.5,1412.049,27415637.3595
2020-12-16 08:00:00+00:00,19415.5,19887.5,19373,19749.5,5300.286,104677998.357
2020-12-16 12:00:00+00:00,19749.5,20859,19691,20670.5,11133.195,230128707.2475
2020-12-16 16:00:00+00:00,20670.5,20887.5,20563,20730.5,3871.873,80265863.2265
2020-12-16 20:00:00+00:00,20730.5,21599.5,20730.5,21364,10296.05,219964812.2
2020-12-17 00:00:00+00:00,21364,22210,21256,21785.5,6695.291,145860262.0805
2020-12-17 04:00:00+00:00,21785.5,22521.5,21773.5,22515.5,5123.329,115354314.0995
2020-12-17 08:00:00+00:00,22515.5,23893,22327,22781,17576.737,400415645.597
2020-12-17 12:00:00+00:00,22781,23375,22622,23333.5,9405.072,219453247.512
2020-12-17 16:00:00+00:00,23333.5,23729,22511,22922,11420.913,261790167.786
2020-12-17 20:00:00+00:00,22922,23116,22348.5,22799.5,6514.635,148530420.6825
2020-12-18 00:00:00+00:00,22799.5,23266.5,22473.5,22834.5,3835.148,87573687.006
2020-12-18 04:00:00+00:00,22834.5,23166.5,22793,23071,2533.059,58440204.189
2020-12-18 08:00:00+00:00,23071,23309,22754.5,22898,3765.773,86228670.154
2020-12-18 12:00:00+00:00,22898,23096.5,22367.5,22563,5042.668,113777718.084
2020-12-18 16:00:00+00:00,22563,22824,22480.5,22757,1937.148,44083677.036
2020-12-18 20:00:00+00:00,22757,23148,22669,23117,3189.931,73741634.927
2020-12-19 00:00:00+00:00,23117,23240.5,22922.5,23125.5,2738.875,63337853.8125
2020-12-19 04:00:00+00:00,23125.5,23150.5,22850,22885,2302.461,52691819.985
2020-12-19 08:00:00+00:00,22885,23098,22765.5,22911,2400.296,54993181.656
2020-12-19 12:00:00+00:00,22911,23683,22910,23581,6913.617,163030002.477
2020-12-19 16:00:00+00:00,23581,24278,23526,23826,9134.064,217628208.864
